Age,Gender,Living_Status,Credit_Amt>20000,Credit_overdue,Car_two_wheeler,Residence,Credit_default,Stable_Income,Employment_Tenure,Monthly_Income,Alternative_Source,Loan_repayment,Loan_type,Loan_default,Loan_default_times,Credit_card_inquires,Collateral_asset,Financial_Counselling,Financial_budgeting,Credit_rating_awareness,Bank_name,Bank_tenure,Loan_services_usage,Interaction_time,Interest_rate_satisfaction,Digital_lending,Digital_leding_frequency,Recommendation_likelihood,loan_processing_delays,Financial_advice,churn_possibility,Reasons_for_churn
26,Female,Single,Yes,Yes,Yes,Tier 1 City,No,Yes,6 months to 1 year,66493,Yes,No,Personal loans,No,Never,Less than 5,Yes,Yes,I maintain a budget,Yes,Federal Bank,More than 3 Years,1-3 Times,More than 1 Hour,Very satisfied,Yes,Frequently,4,Yes,Occasionally,No,"Lower interest rates elsewhere, Dissatisfaction with our financial institution's services"
27,Male,"Conjugal (Married, Live-in, Co live)",No,No,No,Rural Area,No,No,6 months to 1 year,56741,No,No,N/A,No,Never,Less than 5,No,No,I don't have a specific budget,No,Federal Bank,More than 3 Years,None,Less than 1 Hour,Very satisfied,No,Rarely,2,No,Rarely,No,Lower interest rates elsewhere
22,Male,Single,No,No,No,Tier 1 City,Yes,No,6 months to 1 year,77428,No,Yes,Personal loans,Yes,Never,Less than 5,No,No,I maintain a budget,Yes,SBI,Less than 3 Years,None,More than 1 Hour,Neutral,Yes,Rarely,5,Yes,Frequently,No,Better loan terms and conditions elsewhere
22,Female,Single,Yes,No,Yes,Tier 1 City,No,Yes,6 months to 1 year,40586,No,Yes,Personal loans,No,Never,Less than 5,No,Yes,I maintain a budget,Yes,HDFC,Less than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,2,No,Rarely,Yes,"Lower interest rates elsewhere, Better loan terms and conditions elsewhere"
23,Male,Single,Yes,Yes,Yes,Rural Area,Yes,Yes,6 months to 1 year,62493,Yes,No,Personal loans,Yes,Never,Less than 5,No,No,I maintain a budget,Yes,SBI,More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,Yes,Very Frequently,5,Yes,Frequently,Yes,Better loan terms and conditions elsewhere
22,Male,"Conjugal (Married, Live-in, Co live)",Yes,No,No,Rural Area,Yes,No,1 year to 3 years,77209,Yes,No,N/A,No,Never,Less than 5,Yes,No,I maintain a budget,No,Canara bank ,More than 3 Years,None,Less than 1 Hour,Neutral,No,Almost Never,3,No,Rarely,No,"Better loan terms and conditions elsewhere, Recommendations from friends or family to switch"
23,Female,Single,Yes,No,Yes,Tier 2 City,No,Yes,6 months to 1 year,43639,No,Yes,Personal loans,No,Never,Less than 5,No,No,I maintain a budget,Yes,Axis bank,Less than 3 Years,1-3 Times,Less than 1 Hour,Neutral,No,Rarely,2,No,Occasionally,No,Lower interest rates elsewhere
30,Male,Single,No,No,No,Tier 1 City,No,Yes,1 year to 3 years,32668,Yes,Yes,Business loans,No,Never,More than 5,No,No,I maintain a budget,Yes,HDFC Bank,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,4,No,Occasionally,Yes,"Lower interest rates elsewhere, Better loan terms and conditions elsewhere, Recommendations from friends or family to switch"
23,Male,Single,No,No,No,Tier 1 City,No,Yes,6 months to 1 year,31016,No,No,N/A,No,Never,Less than 5,No,No,I maintain a budget,Yes,"Canara, HDFC ",More than 3 Years,None,Less than 1 Hour,Very satisfied,No,Almost Never,5,No,Rarely,No,Better loan terms and conditions elsewhere
28,Female,"Conjugal (Married, Live-in, Co live)",No,Yes,Yes,Tier 1 City,No,Yes,1 year to 3 years,47507,Yes,No,N/A,No,Never,Less than 5,Yes,Yes,I maintain a budget,Yes,Federal Bank,More than 3 Years,1-3 Times,More than 1 Hour,Very satisfied,Yes,Frequently,5,Yes,Occasionally,No,"Lower interest rates elsewhere, Dissatisfaction with our financial institution's services"
34,Male,Single,Yes,No,No,Rural Area,No,No,1 year to 3 years,87360,No,No,Personal loans,No,Never,Less than 5,No,No,I don't have a specific budget,No,Federal Bank,More than 3 Years,None,Less than 1 Hour,Very satisfied,No,Rarely,4,No,Rarely,No,Lower interest rates elsewhere
34,Male,"Conjugal (Married, Live-in, Co live)",No,No,No,Tier 1 City,Yes,No,1 year to 3 years,51258,No,Yes,Personal loans,Yes,Never,Less than 5,No,No,I maintain a budget,Yes,SBI,Less than 3 Years,None,More than 1 Hour,Neutral,Yes,Rarely,5,Yes,Frequently,No,Better loan terms and conditions elsewhere
31,Male,Single,No,No,Yes,Tier 1 City,No,Yes,6 months to 1 year,27275,No,Yes,Personal loans,No,Once or more than once,Less than 5,No,Yes,I maintain a budget,Yes,HDFC,Less than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,2,No,Rarely,Yes,"Lower interest rates elsewhere, Better loan terms and conditions elsewhere"
25,Male,"Conjugal (Married, Live-in, Co live)",No,Yes,Yes,Rural Area,Yes,Yes,6 months to 1 year,32906,Yes,No,N/A,Yes,Never,Less than 5,No,No,I maintain a budget,Yes,SBI,More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,Yes,Very Frequently,4,Yes,Frequently,Yes,Better loan terms and conditions elsewhere
42,Male,"Conjugal (Married, Live-in, Co live)",Yes,No,No,Rural Area,Yes,No,1 year to 3 years,20792,Yes,No,Personal loans,No,Never,Less than 5,Yes,No,I maintain a budget,No,Canara bank ,More than 3 Years,None,Less than 1 Hour,Neutral,No,Almost Never,4,No,Rarely,No,"Better loan terms and conditions elsewhere, Recommendations from friends or family to switch"
34,Male,Single,No,No,Yes,Tier 2 City,No,Yes,6 months to 1 year,82188,No,Yes,Personal loans,No,Never,Less than 5,Yes,No,I maintain a budget,Yes,Axis bank,Less than 3 Years,1-3 Times,Less than 1 Hour,Neutral,No,Rarely,5,No,Occasionally,No,Lower interest rates elsewhere
28,Female,"Conjugal (Married, Live-in, Co live)",Yes,No,No,Tier 1 City,No,Yes,1 year to 3 years,36406,Yes,No,N/A,No,Never,Less than 5,No,No,I maintain a budget,Yes,HDFC Bank,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,4,No,Occasionally,Yes,"Lower interest rates elsewhere, Better loan terms and conditions elsewhere, Recommendations from friends or family to switch"
29,Female,"Conjugal (Married, Live-in, Co live)",No,No,No,Tier 1 City,No,Yes,6 months to 1 year,17306,No,No,Personal loans,No,Never,Less than 5,No,No,I maintain a budget,Yes,"Canara, HDFC ",More than 3 Years,None,Less than 1 Hour,Very satisfied,No,Almost Never,3,No,Rarely,No,Better loan terms and conditions elsewhere
42,Male,Single,Yes,Yes,Yes,Tier 1 City,No,Yes,1 year to 3 years,35000,Yes,No,Personal loans,No,Never,Less than 5,No,Yes,I maintain a budget,Yes,Federal Bank,More than 3 Years,1-3 Times,More than 1 Hour,Very satisfied,Yes,Frequently,4,Yes,Occasionally,No,"Lower interest rates elsewhere, Dissatisfaction with our financial institution's services"
28,Female,"Conjugal (Married, Live-in, Co live)",Yes,No,No,Rural Area,No,No,6 months to 1 year,72581,No,No,Personal loans,No,Never,Less than 5,No,No,I don't have a specific budget,No,Federal Bank,More than 3 Years,None,Less than 1 Hour,Very satisfied,No,Rarely,5,No,Rarely,No,Lower interest rates elsewhere
25,Female,Single,No,No,No,Tier 1 City,Yes,No,6 months to 1 year,84264,No,Yes,Business loans,Yes,Never,Less than 5,Yes,No,I maintain a budget,Yes,SBI,Less than 3 Years,None,More than 1 Hour,Neutral,Yes,Rarely,4,Yes,Frequently,No,Better loan terms and conditions elsewhere
29,Female,Single,No,No,Yes,Tier 1 City,No,Yes,1 year to 3 years,66991,No,Yes,Business loans,No,Never,Less than 5,No,Yes,I maintain a budget,Yes,HDFC,Less than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,2,No,Rarely,Yes,"Lower interest rates elsewhere, Better loan terms and conditions elsewhere"
41,Female,Single,Yes,Yes,Yes,Rural Area,Yes,Yes,1 year to 3 years,15000,Yes,No,N/A,Yes,Never,Less than 5,No,No,I maintain a budget,Yes,SBI,More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,Yes,Very Frequently,3,Yes,Frequently,Yes,Better loan terms and conditions elsewhere
41,Male,Single,No,No,No,Rural Area,Yes,No,6 months to 1 year,88202,Yes,No,Personal loans,No,Never,More than 5,No,No,I maintain a budget,No,Canara bank ,More than 3 Years,None,Less than 1 Hour,Neutral,No,Almost Never,2,No,Rarely,No,"Better loan terms and conditions elsewhere, Recommendations from friends or family to switch"
32,Male,Single,Yes,No,Yes,Tier 2 City,No,Yes,6 months to 1 year,73796,No,Yes,Personal loans,No,Never,Less than 5,Yes,No,I maintain a budget,Yes,Axis bank,Less than 3 Years,1-3 Times,Less than 1 Hour,Neutral,No,Rarely,2,No,Occasionally,No,Lower interest rates elsewhere
34,Female,Single,Yes,No,No,Tier 1 City,No,Yes,6 months to 1 year,82647,Yes,Yes,Personal loans,No,Never,Less than 5,No,No,I maintain a budget,Yes,HDFC Bank,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,2,No,Occasionally,Yes,"Lower interest rates elsewhere, Better loan terms and conditions elsewhere, Recommendations from friends or family to switch"
29,Female,"Conjugal (Married, Live-in, Co live)",Yes,No,No,Tier 1 City,No,Yes,6 months to 1 year,26813,No,No,N/A,No,Never,Less than 5,No,No,I maintain a budget,Yes,"Canara, HDFC ",More than 3 Years,None,Less than 1 Hour,Very satisfied,No,Almost Never,5,No,Rarely,No,Better loan terms and conditions elsewhere
27,Female,Single,No,Yes,Yes,Tier 1 City,No,Yes,6 months to 1 year,62445,Yes,No,Personal loans,No,Never,Less than 5,No,Yes,I maintain a budget,Yes,Federal Bank,More than 3 Years,1-3 Times,More than 1 Hour,Very satisfied,Yes,Frequently,5,Yes,Occasionally,No,"Lower interest rates elsewhere, Dissatisfaction with our financial institution's services"
37,Female,"Conjugal (Married, Live-in, Co live)",No,No,No,Rural Area,No,No,6 months to 1 year,77815,No,No,Personal loans,No,Never,Less than 5,No,No,I don't have a specific budget,No,Federal Bank,More than 3 Years,None,Less than 1 Hour,Very satisfied,No,Rarely,5,No,Rarely,No,Lower interest rates elsewhere
35,Male,"Conjugal (Married, Live-in, Co live)",No,No,No,Tier 1 City,Yes,No,1 year to 3 years,52924,No,No,N/A,Yes,Never,Less than 5,Yes,No,I maintain a budget,Yes,SBI,Less than 3 Years,None,More than 1 Hour,Neutral,Yes,Rarely,2,Yes,Frequently,No,Better loan terms and conditions elsewhere
29,Male,Single,Yes,No,Yes,Tier 1 City,No,Yes,6 months to 1 year,22577,No,Yes,Personal loans,No,Never,Less than 5,Yes,Yes,I maintain a budget,Yes,HDFC,Less than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,3,No,Rarely,Yes,"Lower interest rates elsewhere, Better loan terms and conditions elsewhere"
29,Male,Single,No,Yes,Yes,Rural Area,Yes,Yes,6 months to 1 year,88404,Yes,No,Personal loans,Yes,Never,Less than 5,No,No,I maintain a budget,Yes,SBI,More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,Yes,Very Frequently,4,Yes,Frequently,Yes,Better loan terms and conditions elsewhere
26,Male,Single,Yes,No,No,Rural Area,Yes,No,6 months to 1 year,54736,Yes,No,Personal loans,No,Once or more than once,Less than 5,No,No,I maintain a budget,No,Canara bank ,More than 3 Years,None,Less than 1 Hour,Neutral,No,Almost Never,3,No,Rarely,No,"Better loan terms and conditions elsewhere, Recommendations from friends or family to switch"
28,Male,"Conjugal (Married, Live-in, Co live)",No,No,Yes,Tier 2 City,No,Yes,6 months to 1 year,18024,No,Yes,Personal loans,No,Never,Less than 5,No,No,I maintain a budget,Yes,Axis bank,Less than 3 Years,1-3 Times,Less than 1 Hour,Neutral,No,Rarely,2,No,Occasionally,No,Lower interest rates elsewhere
28,Male,Single,No,No,No,Tier 1 City,No,Yes,1 year to 3 years,27579,Yes,No,N/A,No,Never,Less than 5,No,No,I maintain a budget,Yes,HDFC Bank,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,3,No,Occasionally,Yes,"Lower interest rates elsewhere, Better loan terms and conditions elsewhere, Recommendations from friends or family to switch"
39,Male,Single,No,No,No,Tier 1 City,No,Yes,6 months to 1 year,23329,No,No,Personal loans,No,Never,Less than 5,Yes,No,I maintain a budget,Yes,"Canara, HDFC ",More than 3 Years,None,Less than 1 Hour,Very satisfied,No,Almost Never,5,No,Rarely,No,Better loan terms and conditions elsewhere
31,Female,Single,No,Yes,Yes,Tier 1 City,No,Yes,6 months to 1 year,64154,Yes,No,Personal loans,No,Never,Less than 5,No,Yes,I maintain a budget,Yes,Federal Bank,More than 3 Years,1-3 Times,More than 1 Hour,Very satisfied,Yes,Frequently,4,Yes,Occasionally,No,"Lower interest rates elsewhere, Dissatisfaction with our financial institution's services"
37,Female,"Conjugal (Married, Live-in, Co live)",No,No,No,Rural Area,No,No,6 months to 1 year,17921,No,No,N/A,No,Never,Less than 5,No,No,I don't have a specific budget,No,Federal Bank,More than 3 Years,None,Less than 1 Hour,Very satisfied,No,Rarely,3,No,Rarely,No,Lower interest rates elsewhere
26,Male,Single,No,No,No,Tier 1 City,Yes,No,6 months to 1 year,79608,No,Yes,Business loans,Yes,Never,Less than 5,No,No,I maintain a budget,Yes,SBI,Less than 3 Years,None,More than 1 Hour,Neutral,Yes,Rarely,2,Yes,Frequently,No,Better loan terms and conditions elsewhere
29,Female,Single,No,No,Yes,Tier 1 City,No,Yes,6 months to 1 year,22416,No,No,N/A,No,Once or more than once,Less than 5,Yes,Yes,I maintain a budget,Yes,HDFC,Less than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,2,No,Rarely,Yes,"Lower interest rates elsewhere, Better loan terms and conditions elsewhere"
37,Male,Single,No,Yes,Yes,Rural Area,Yes,Yes,1 year to 3 years,91802,Yes,No,Personal loans,Yes,Never,Less than 5,No,No,I maintain a budget,Yes,SBI,More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,Yes,Very Frequently,5,Yes,Frequently,Yes,Better loan terms and conditions elsewhere
36,Male,"Conjugal (Married, Live-in, Co live)",No,No,No,Rural Area,Yes,No,1 year to 3 years,70800,Yes,No,N/A,No,Never,More than 5,No,No,I maintain a budget,No,Canara bank ,More than 3 Years,None,Less than 1 Hour,Neutral,No,Almost Never,3,No,Rarely,No,"Better loan terms and conditions elsewhere, Recommendations from friends or family to switch"
29,Male,Single,No,No,Yes,Tier 2 City,No,Yes,1 year to 3 years,62535,No,Yes,Business loans,No,Never,Less than 5,No,No,I maintain a budget,Yes,Axis bank,Less than 3 Years,1-3 Times,Less than 1 Hour,Neutral,No,Rarely,4,No,Occasionally,No,Lower interest rates elsewhere
41,Male,Single,Yes,No,No,Tier 1 City,No,Yes,6 months to 1 year,34333,Yes,Yes,Business loans,No,Never,Less than 5,No,No,I maintain a budget,Yes,HDFC Bank,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,4,No,Occasionally,Yes,"Lower interest rates elsewhere, Better loan terms and conditions elsewhere, Recommendations from friends or family to switch"
35,Male,"Conjugal (Married, Live-in, Co live)",No,No,No,Tier 1 City,No,Yes,6 months to 1 year,88690,No,No,Personal loans,No,Never,Less than 5,Yes,No,I maintain a budget,Yes,"Canara, HDFC ",More than 3 Years,None,Less than 1 Hour,Very satisfied,No,Almost Never,4,No,Rarely,No,Better loan terms and conditions elsewhere
42,Male,"Conjugal (Married, Live-in, Co live)",No,Yes,Yes,Tier 1 City,No,Yes,1 year to 3 years,44636,Yes,No,Personal loans,No,Never,Less than 5,Yes,Yes,I maintain a budget,Yes,Federal Bank,More than 3 Years,1-3 Times,More than 1 Hour,Very satisfied,Yes,Frequently,4,Yes,Occasionally,No,"Lower interest rates elsewhere, Dissatisfaction with our financial institution's services"
40,Male,"Conjugal (Married, Live-in, Co live)",Yes,No,No,Rural Area,No,No,6 months to 1 year,21550,No,No,N/A,No,Never,Less than 5,No,No,I don't have a specific budget,No,Federal Bank,More than 3 Years,None,Less than 1 Hour,Very satisfied,No,Rarely,3,No,Rarely,No,Lower interest rates elsewhere
29,Female,Single,No,No,No,Tier 1 City,Yes,No,6 months to 1 year,29450,No,No,N/A,Yes,Never,Less than 5,No,No,I maintain a budget,Yes,SBI,Less than 3 Years,None,More than 1 Hour,Neutral,Yes,Rarely,4,Yes,Frequently,No,Better loan terms and conditions elsewhere
32,Female,Single,Yes,No,Yes,Tier 1 City,No,Yes,6 months to 1 year,71978,No,Yes,Personal loans,No,Never,Less than 5,No,Yes,I maintain a budget,Yes,HDFC,Less than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,2,No,Rarely,Yes,"Lower interest rates elsewhere, Better loan terms and conditions elsewhere"
33,Female,"Conjugal (Married, Live-in, Co live)",No,Yes,Yes,Rural Area,Yes,Yes,6 months to 1 year,24761,Yes,No,Personal loans,Yes,Once or more than once,Less than 5,No,No,I maintain a budget,Yes,SBI,More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,Yes,Very Frequently,2,Yes,Frequently,Yes,Better loan terms and conditions elsewhere
29,Female,Single,Yes,No,No,Rural Area,Yes,No,6 months to 1 year,54383,Yes,No,Personal loans,No,Never,Less than 5,Yes,No,I maintain a budget,No,Canara bank ,More than 3 Years,None,Less than 1 Hour,Neutral,No,Almost Never,5,No,Rarely,No,"Better loan terms and conditions elsewhere, Recommendations from friends or family to switch"
39,Male,Single,Yes,No,Yes,Tier 2 City,No,Yes,1 year to 3 years,25686,No,Yes,Personal loans,No,Never,Less than 5,No,No,I maintain a budget,Yes,Axis bank,Less than 3 Years,1-3 Times,Less than 1 Hour,Neutral,No,Rarely,2,No,Occasionally,No,Lower interest rates elsewhere
36,Female,Single,Yes,No,No,Tier 1 City,No,Yes,1 year to 3 years,41137,Yes,Yes,Personal loans,No,Once or more than once,Less than 5,No,No,I maintain a budget,Yes,HDFC Bank,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,5,No,Occasionally,Yes,"Lower interest rates elsewhere, Better loan terms and conditions elsewhere, Recommendations from friends or family to switch"
25,Female,Single,Yes,No,No,Tier 1 City,No,Yes,1 year to 3 years,83457,No,No,N/A,No,Never,Less than 5,No,No,I maintain a budget,Yes,"Canara, HDFC ",More than 3 Years,None,Less than 1 Hour,Very satisfied,No,Almost Never,4,No,Rarely,No,Better loan terms and conditions elsewhere
32,Female,Single,No,Yes,Yes,Tier 1 City,No,Yes,1 year to 3 years,90205,Yes,No,Personal loans,No,Never,Less than 5,Yes,Yes,I maintain a budget,Yes,Federal Bank,More than 3 Years,1-3 Times,More than 1 Hour,Very satisfied,Yes,Frequently,3,Yes,Occasionally,No,"Lower interest rates elsewhere, Dissatisfaction with our financial institution's services"
40,Male,"Conjugal (Married, Live-in, Co live)",No,No,No,Rural Area,No,No,6 months to 1 year,76187,No,No,Personal loans,No,Once or more than once,Less than 5,No,No,I don't have a specific budget,No,Federal Bank,More than 3 Years,None,Less than 1 Hour,Very satisfied,No,Rarely,5,No,Rarely,No,Lower interest rates elsewhere
41,Male,Single,No,No,No,Tier 1 City,Yes,No,6 months to 1 year,53758,No,Yes,Personal loans,Yes,Never,Less than 5,No,No,I maintain a budget,Yes,SBI,Less than 3 Years,None,More than 1 Hour,Neutral,Yes,Rarely,5,Yes,Frequently,No,Better loan terms and conditions elsewhere
30,Male,"Conjugal (Married, Live-in, Co live)",No,No,Yes,Tier 1 City,No,Yes,6 months to 1 year,73645,No,Yes,Personal loans,No,Once or more than once,More than 5,No,Yes,I maintain a budget,Yes,HDFC,Less than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,2,No,Rarely,Yes,"Lower interest rates elsewhere, Better loan terms and conditions elsewhere"
37,Female,"Conjugal (Married, Live-in, Co live)",Yes,Yes,Yes,Rural Area,Yes,Yes,6 months to 1 year,36196,Yes,Yes,Personal loans,Yes,Never,Less than 5,No,No,I maintain a budget,Yes,SBI,More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,Yes,Very Frequently,4,Yes,Frequently,Yes,Better loan terms and conditions elsewhere
37,Male,Single,No,No,No,Rural Area,Yes,No,6 months to 1 year,36321,Yes,Yes,Personal loans,No,Never,Less than 5,Yes,No,I maintain a budget,No,Canara bank ,More than 3 Years,None,Less than 1 Hour,Neutral,No,Almost Never,2,No,Rarely,No,"Better loan terms and conditions elsewhere, Recommendations from friends or family to switch"
26,Female,Single,No,No,Yes,Tier 2 City,No,Yes,6 months to 1 year,65191,No,Yes,N/A,No,Never,Less than 5,Yes,No,I maintain a budget,Yes,Axis bank,Less than 3 Years,1-3 Times,Less than 1 Hour,Neutral,No,Rarely,3,No,Occasionally,No,Lower interest rates elsewhere
41,Female,Single,No,No,No,Tier 1 City,No,Yes,1 year to 3 years,70425,Yes,Yes,Personal loans,No,Never,Less than 5,No,No,I maintain a budget,Yes,HDFC Bank,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,3,No,Occasionally,Yes,"Lower interest rates elsewhere, Better loan terms and conditions elsewhere, Recommendations from friends or family to switch"
26,Male,Single,No,No,No,Tier 1 City,No,Yes,6 months to 1 year,80745,No,No,N/A,No,Never,Less than 5,No,No,I maintain a budget,Yes,"Canara, HDFC ",More than 3 Years,None,Less than 1 Hour,Very satisfied,No,Almost Never,3,No,Rarely,No,Better loan terms and conditions elsewhere
42,Female,Single,Yes,Yes,Yes,Tier 1 City,No,Yes,1 year to 3 years,18244,Yes,Yes,Personal loans,No,Never,Less than 5,No,Yes,I maintain a budget,Yes,Federal Bank,More than 3 Years,1-3 Times,More than 1 Hour,Very satisfied,Yes,Frequently,5,Yes,Occasionally,No,"Lower interest rates elsewhere, Dissatisfaction with our financial institution's services"
32,Female,Single,No,No,No,Rural Area,No,No,6 months to 1 year,75047,No,No,N/A,No,Never,Less than 5,No,No,I don't have a specific budget,No,Federal Bank,More than 3 Years,None,Less than 1 Hour,Very satisfied,No,Rarely,3,No,Rarely,No,Lower interest rates elsewhere
26,Male,Single,No,No,No,Tier 1 City,Yes,No,6 months to 1 year,35367,No,No,N/A,Yes,Never,Less than 5,Yes,No,I maintain a budget,Yes,SBI,Less than 3 Years,None,More than 1 Hour,Neutral,Yes,Rarely,3,Yes,Frequently,No,Better loan terms and conditions elsewhere
28,Male,Single,Yes,No,Yes,Tier 1 City,No,Yes,1 year to 3 years,72523,No,Yes,Personal loans,No,Never,Less than 5,No,Yes,I maintain a budget,Yes,HDFC,Less than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,3,No,Rarely,Yes,"Lower interest rates elsewhere, Better loan terms and conditions elsewhere"
32,Male,"Conjugal (Married, Live-in, Co live)",Yes,Yes,Yes,Rural Area,Yes,Yes,1 year to 3 years,23613,Yes,Yes,Personal loans,Yes,Never,Less than 5,No,No,I maintain a budget,Yes,SBI,More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,Yes,Very Frequently,4,Yes,Frequently,Yes,Better loan terms and conditions elsewhere
41,Male,"Conjugal (Married, Live-in, Co live)",No,No,No,Rural Area,Yes,No,6 months to 1 year,87478,Yes,No,N/A,No,Never,Less than 5,No,No,I maintain a budget,No,Canara bank ,More than 3 Years,None,Less than 1 Hour,Neutral,No,Almost Never,3,No,Rarely,No,"Better loan terms and conditions elsewhere, Recommendations from friends or family to switch"
30,Female,"Conjugal (Married, Live-in, Co live)",Yes,No,Yes,Tier 2 City,No,Yes,6 months to 1 year,45681,No,Yes,Personal loans,No,Never,Less than 5,Yes,No,I maintain a budget,Yes,Axis bank,Less than 3 Years,1-3 Times,Less than 1 Hour,Neutral,No,Rarely,5,No,Occasionally,No,Lower interest rates elsewhere
